Map(399) {
  '0xF9f2Abcc9df889794b60f0791A784F5a97d32920' => 'Gold',
  '0x38B0aA025b0A6A134cd6d940Ce37df6978BbA6De' => 'Gold',
  '0x517E6E444fb0E565CF07597e8FC692B2C05E8Bda' => 'Gold',
  '0x95ED91E587F17A311CD216C704A2CBd06CFf085a' => 'Gold',
  '0x05c9f9Ea62c3C69dDF7221446d7Dbf4E04b0c408' => 'Gold',
  '0xB3BD192d80fA4f40a1d851E81C9cf196a3A7d632' => 'Gold',
  '0x2e5B27A6eE216c90f6F42bfeAdd7Cd25888e5be3' => 'Gold',
  '0x1B21B2D0c32618226f9745340bCAe30AE4B507f3' => 'Gold',
  '0x90F659686262A2149dfEB4B6eF88Edc8Fcc4e05A' => 'Gold',
  '0x6af6D4c57b3d48D614ECc52f6C25242783Dec71A' => 'Gold',
  '0x56aDe75750B3B0f7629e77869B178e2EDD360F29' => 'Gold',
  '0x5B9f0Eef7bfBD54ba21cD7409BBdFEf12136421a' => 'Gold',
  '0xa603da977F4DA790D8f3d0fF42DB79caCC6F6960' => 'Gold',
  '0x5CfC0Af2db55938B879c5Be94D0cd860Ec2DB029' => 'Gold',
  '0x8Ca60eB7C8D4DE486986335166E1C9f6b3982029' => 'Gold',
  '0x8D79069A3642D044330F065e2688639C226C2289' => 'Gold',
  '0xb44e639dcA7d7A0F0bCe135599EdAa9f1FbBbD6a' => 'Gold',
  '0x6BcFB1F96A3d270F00dEAb39Fd50e78096576113' => 'Gold',
  '0xa406350e53C905c881Aa346cF14c703A52A9B593' => 'Gold',
  '0xfF659F9c29D69A078f0D868cEb18e9c6E7d8F4Fe' => 'Gold',
  '0xEB4872B4c995f6613077090438EaE69CfEFF142f' => 'Gold',
  '0xF4e87A350Ef2E2d7917a229748beFAaA11Ac33c0' => 'Gold',
  '0x253a1dc6BBad8A62a8e8F7B21214FEa2B78CB77E' => 'Gold',
  '0x7Ad648c1d96D208c09712DDE7791921D3E6DE434' => 'Gold',
  '0x13B0D26d0703Cd7A13a52E4bfb90a48887e559A6' => 'Gold',
  '0x765CE21d34164B4ef7B362c3835f60a711b5F554' => 'Gold',
  '0x6FB3071447c444E51F7b282a76f06F811e21D3EC' => 'Gold',
  '0xE000adB6f47C7461694Bcb69Bf51BAB8087D819d' => 'Gold',
  '0xdE6F17794861E1E13104285Cd2dabFC478BfB679' => 'Gold',
  '0x956290cae406BF01a4047035f1a8975Eed11D1E4' => 'Gold',
  '0x993192a774609176f59325E9C0aFd0641917D0DB' => 'Gold',
  '0x93Ef4743CaD66D1707cf1E98464A11D6970aA399' => 'Gold',
  '0x55A67298aD97162136ba3F4dEbc5a84857cdb2Eb' => 'Gold',
  '0xf89be918c3d9989DD1e454bd21E1fc3aFb7E6EEB' => 'Gold',
  '0xfEA310e868466201E881866e75232e1Bc2B86E0c' => 'Gold',
  '0x407f9e8c06371b9F2b2fAA4F98c233253d817308' => 'Gold',
  '0x811df83148fA178c1Fa9f80B9F07e1DdA5a9c191' => 'Gold',
  '0xBd4718eDcA87EbbBC9F501938b4a7Bb6dd6F8B86' => 'Gold',
  '0x3CEFb79aF1F4126DC679D52f5f7458A25CE74B42' => 'Gold',
  '0xA8213ad427CC7C16cf6248e0653553bC3008A191' => 'Gold',
  '0xa6cf43fE0B47D5Da8f03258B37F1cAf148955019' => 'Gold',
  '0xCcEbE8104A3aa1a440461f5F4f6c38FBdFB30802' => 'Gold',
  '0x3D0BB03c7CbB0Caf3B10dD152bEA10afE2852181' => 'Gold',
  '0x107cd74419DfC9FF01975e652597c5a4b6706460' => 'Gold',
  '0xe1Da425d1880D3243f9Dfd3c9C2C3f09E73ACd6d' => 'Gold',
  '0x3B5F199EFDd46C53a767860EC438f406695e5799' => 'Gold',
  '0x53baD4E06b7b0244927BB03d43F3171C4b0349BE' => 'Gold',
  '0x0c183b19cf8a07bB4319729150b0b3B4841C0866' => 'Gold',
  '0xCF43e9A2F9ED4810de89aE08d88445D8CcF63aB1' => 'Gold',
  '0xc1C47C47c0cB4E6E4E6Cba1DE405fe8B06b8E564' => 'Gold',
  '0xc8C3e484dDF92069eb3226dF266C2C262902D835' => 'Gold',
  '0x5406a48f5de499c08BfB8939A3B9e66c1957d72B' => 'Gold',
  '0x1D932E6489B5e4091eE078db497799237b354191' => 'Gold',
  '0x9583Ca25eC7770B1d575D0c4C76B79cE257e6645' => 'Gold',
  '0xfe9F4e4Fc884fBAb008947c09c6BD7ECaB1D9510' => 'Gold',
  '0x8D339490827b323295DA0A003096e18b0Dd99A2F' => 'Gold',
  '0x697D13930A51A7a9DedE42e48FCB0b7043918917' => 'Gold',
  '0x9CCB89c59E0040Fe96814D02832Ed6533cBADA55' => 'Gold',
  '0xB817F347Cc5dC77DabEb45Dc071Dc4cA80b28E16' => 'Gold',
  '0xDe5701C91E479888878f9AEbf1DeCc0B10D88cB5' => 'Gold',
  '0x0AB89d33Cc455105c56A6E9381BdE16e0d6D9e40' => 'Gold',
  '0x43f9873FCf56B25F605A45B89169213FF0fC9eC3' => 'Gold',
  '0x18376a0E6f2975013D2866407ea4f4e2fF01B510' => 'Gold',
  '0x65a7De07F2Df7564421b3a942cb0699b357B91cE' => 'Gold',
  '0xf455324F5112F4370d30a36dE2AF8255d61d391C' => 'Gold',
  '0x1ccceDE48295654B7e48333b47f54d24C4d612D9' => 'Gold',
  '0xb90440Ee1FAc3172A630470F4aDcB99d0fEE936D' => 'Gold',
  '0x4aC4Ab29F4A87150D89D3fdd5cbC46112606E5e8' => 'Gold',
  '0x4cF5DB7f72766Df7Fa9495F5afb1e0B4a94c3978' => 'Gold',
  '0x97cD70611075e6eae5d64A9908D6fE2592438C88' => 'Gold',
  '0xb5cBB2f3B5d3A72a88aF6c3739579A18D5235755' => 'Gold',
  '0x12D7145dcE155f2b586CE1B2DfFd267c69b86385' => 'Gold',
  '0x213AC2921ce9374803a08dFe64ED6192854EcccC' => 'Gold',
  '0xFDd4186383fafd6bD41d0c59eD84708dfDe004ff' => 'Gold',
  '0xd944633d12e0ECf7e88D6b6248bC192d2e24226d' => 'Gold',
  '0x9062A96B9E947b2b57283e705c97B871f5eB6561' => 'Gold',
  '0xe74d20083455d354708D67d8CcE31871E0a425F2' => 'Gold',
  '0x6aE40A6fd30B9e627A1314D2Fadc4ed96D34dbD7' => 'Gold',
  '0xdAf08467BE187fDAD0DB1df64b8cbD20F60AB370' => 'Gold',
  '0x4D8BD62C7Cb6769795410C5d1209cc09bfE16C60' => 'Gold',
  '0x8c0d5Cf17365Df315b8d334eB5552Be9F7Ff3978' => 'Gold',
  '0x90B7903F465600923CE2A18c0aA222bA79784b6A' => 'Gold',
  '0x32eD0c6b445a0e5c413Dc583106583E19Ee39dBB' => 'Gold',
  '0xEeBCfeF507D6109D87689811F5d85d89D30caE76' => 'Gold',
  '0xe80088863766AEE6d80E2Ff6C85A9187F6dd85a6' => 'Gold',
  '0x852926150De3854D61319021BD88F239C1Cc4C38' => 'Gold',
  '0x59512422AF0709c7CaB8285838975Cd8D7C7CE7d' => 'Gold',
  '0xdF5feE5A0420b7b9c288B88E4efa133BF2AF480a' => 'Gold',
  '0xd114fE967B1d6A10E21A89868369C1EeD669A560' => 'Gold',
  '0x1B30c84e244361a99Be770Acd57ACE184983c83d' => 'Gold',
  '0xd40bf250ac782434155b93d91DE08236f50460a6' => 'Gold',
  '0x2916D837B5F3D4E83df9c6DB717356Bd89C6e9A5' => 'Gold',
  '0x9f1842a615a14BCe5723f4C5019D6f67c889B632' => 'Gold',
  '0x0D12E38FFA27f2E676d332c5f3903E302d032408' => 'Gold',
  '0x9C2c3b36FbCE13eFB602750eF3403291824fa338' => 'Gold',
  '0x2ffe1CebBD2e6934f1A9e2BC4A0940d8c78cFf6D' => 'Gold',
  '0x6a6e0a753C927Cbd77c1cf97820A5AD496B74A16' => 'Gold',
  '0x324d9A28403839CDEdf36600Fa735520f18Dca64' => 'Gold',
  '0x4557144F54Bc5D129a875a532C21Db18481900EE' => 'Gold',
  '0x81Fa725f8ceBd030939aB8B649507f733101AE95' => 'Gold',
  '0x711888263273D7e6D2179DDB5B3fea4B41921911' => 'Gold',
  '0xA0837778BC9A735924bcF4C98E64af6e8DE42cf4' => 'Gold',
  '0x29a65d830516cca6E694be90d3dE3CC19f620eA6' => 'Gold',
  '0xafD1798233fbCD623EeA576A80d555Fe9c501b45' => 'Gold',
  '0xb996F5f0Be1Dc903d39F0256DF7a47d59EdD5e2f' => 'Gold',
  '0x3587dB7daB8eed84962bB5F7A52AB875FD20aa46' => 'Gold',
  '0x64bbBeC4730BfD30Fc7476a0b353f49B108B44f2' => 'Gold',
  '0x2B8655383305d07DFd0dA40459a9DaD61e9918aF' => 'Gold',
  '0xBCd9FDc648F1134ba00d0d8070b77F296C94Dc1e' => 'Gold',
  '0xf331f8Cbcd9100292258D2a1986A4a2e7435e453' => 'Gold',
  '0xb3902CD8318c4648e18dfE6afCE125A331F1A787' => 'Gold',
  '0x93AeCdbf7ef234D7A240974293a969e323C376C2' => 'Gold',
  '0x6A9ee69B6781C18164ee9F7C58f1763BcFfC7c51' => 'Gold',
  '0x53dc3204f2f294f6A5649a36AC295f74A0dB92e0' => 'Gold',
  '0xFF78baD7F3FEfbf552a2978E1455D0126dA9BA76' => 'Gold',
  '0x72b3DAf411912561836DeA10e2Efebd6F81ec209' => 'Gold',
  '0xF0CBf1B2D0888E744005f5d603a03a5c4aDc31C3' => 'Gold',
  '0x1B99EAc6E12c0080151A897C36eBba0BC7F9e954' => 'Gold',
  '0x343Ece916dA848F6Ab5eC7523c29A9c0e9400958' => 'Gold',
  '0x6E2a2acC7253d38e0891F439a9815bEd3771E305' => 'Gold',
  '0xCe4D4bF74cf639d99C26803F6Dbc0A8054329C16' => 'Gold',
  '0xEcC3e7E76139274Cc12Cb1f0dE1645732DD67Bf7' => 'Gold',
  '0x0Ad979278f3b5b6576620F48161355c4D5E0766A' => 'Gold',
  '0xFB2165f4AbEEd496B4EDd3234C4CC09f1557226e' => 'Gold',
  '0x95F3daDAa5C781dE9AA453830d4e689D57937f82' => 'Gold',
  '0x980aA416e2d67FC97c671162d8Ae261C105b2043' => 'Gold',
  '0x8664CedFBFD62980211ACEfcd4919C72237D801B' => 'Gold',
  '0x72Bf07f4A11E9657f56250B560Be11A63cA16757' => 'Gold',
  '0x7Fb3b6d222CE75121D0edD4cE0248EC10b498b3D' => 'Gold',
  '0x6C1fEca12c7F4Ee37346789ee5F2B51966e1dC14' => 'Gold',
  '0xD2970eeCfc0cdCB8e94b1D05fc825fcC43cA1c53' => 'Gold',
  '0xE2551950F53e519D8f2CFf42a3b418082827CC3d' => 'Gold',
  '0x85d1B4acED9027D8E714874Ce4CD9017E3Bb1C32' => 'Gold',
  '0xF68500D8Ebc678077A9388Cf0Aa570536613f17C' => 'Gold',
  '0x416669A080eFaa174226b26Bd330A227d3449F1d' => 'Gold',
  '0x077C5d343e226E7e152246780be2BCa2AF91631e' => 'Gold',
  '0xf7c6382Da0A3ee08aD4c201b01E33e122600Ab6f' => 'Gold',
  '0x79B42A6A7b708ec06eE807E4B77b3d449bF7AFB8' => 'Gold',
  '0x4B11F86a69ed65E8e2266d936c55dC66f43dA055' => 'Gold',
  '0x219C59a99fb5134Db62382f3CB3A88C0c15B6ef2' => 'Gold',
  '0x2E31bD290416f095Db77C56cb2a2CE7ea4511872' => 'Gold',
  '0xC9E3D84E62cC145fF76Fd90859CBd46b5C665941' => 'Gold',
  '0x25e4723F5859952D807ca1339E010c30E06656af' => 'Gold',
  '0x8C59eB7f0fF13fE71E916b5A1039bCa73B0C0021' => 'Gold',
  '0xF3062faAA61CD4Ee6E8705135A3Bc6419CD766B2' => 'Gold',
  '0x17dC32FAa91b1211b2E991f08b8Df4b6D4780BbA' => 'Gold',
  '0x6083acA8248Cf7F399033DF396809bf72d0B581c' => 'Gold',
  '0x2B2Ba7547FEa61596f0124176D68B959C891CB38' => 'Gold',
  '0xd09924A6FadB919c884Ca69c284e63E0c94C9DD6' => 'Gold',
  '0xfC5b2D51fD03b13bF440eb9e0c7B1D94b1b77BB9' => 'Gold',
  '0xD5C196b5b67e624738D85AB5A98534e68FD2C88E' => 'Gold',
  '0x03F182ec7474877EC8d830a5Fcb804FD132755c1' => 'Gold',
  '0xc6D15113E2FC44064e2CE8dF7A5c38e01ad6bcd5' => 'Gold',
  '0x9b18e9e9aa3dD35100b385b7035C0B1E44AfcA14' => 'Gold',
  '0xbd0eC71B9aDA90ac6C1428cAfd45fe2fCA367665' => 'Gold',
  '0x616C9F0Aaa13D3587B9Fe6F513DF62522F7D900C' => 'Gold',
  '0x8eAa72fe26Ab8e42e41C950887F61E85e490911c' => 'Gold',
  '0xDCa30c99B25188e3449B4e28B5D96f689ca64005' => 'Gold',
  '0xc4281577011bca3E2464bc43B2E36a64FCB542a1' => 'Gold',
  '0xEC8AFF769B4995a5dB62C26212Ca612f0914Af2f' => 'Gold',
  '0x67882422DC2eD49Ca1057727AFB8601568544aB5' => 'Gold',
  '0xb731eF1D26227e1EdF48F9833E6B48EB11154917' => 'Gold',
  '0x4abE0903Ee68883e693293037973f5926827Eb03' => 'Gold',
  '0x90Ed12c423cEE6a0CCECADB1C87482733bE3eF26' => 'Gold',
